"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","species","pcr_samps","sero_samps","filo_samps","hnv_samps","total_samps","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"1","artibeus lituratus","Artibeus lituratus",FALSE,"857633",FALSE,"SIBLING_HIGHER","1","artibeus lituratus",NA,1,NA,1,1,1,"LA","Artibeus_lituratus",0,1,0
"3","balionycteris maculata","Balionycteris maculata",FALSE,"37727",FALSE,"","1","balionycteris maculata",NA,1,NA,1,1,1,"Asia","Balionycteris_maculata",0,1,0
"4","carollia brevicauda","Carollia brevicauda",FALSE,"758569",FALSE,"","1","carollia brevicauda",NA,1,NA,1,1,1,"LA","Carollia_brevicauda",0,1,0
"5","carollia perspicillata","Carollia perspicillata",FALSE,"1039980",FALSE,"","1","carollia perspicillata",NA,1,NA,1,1,1,"LA","Carollia_perspicillata",0,1,0
"6","casinycteris argynnis","Casinycteris argynnis",FALSE,"663912",FALSE,"","1","casinycteris argynnis",1,1,2,NA,2,1,"Africa","Casinycteris_argynnis",1,0,0
"7","chaerephon plicatus","Chaerephon plicatus",FALSE,"682737",FALSE,"","1","chaerephon plicatus",NA,2,NA,2,2,1,"Asia","Chaerephon_plicatus",0,1,0
"8","coleura afra","Coleura afra",FALSE,"637419",FALSE,"","1","coleura afra",2,NA,2,NA,2,1,"Africa","Coleura_afra",1,0,0
"9","cynopterus brachyotis","Cynopterus brachyotis",FALSE,"113380",FALSE,"","1","cynopterus brachyotis",1,6,2,5,7,1,"Asia","Cynopterus_brachyotis",1,1,1
"10","cynopterus horsfieldii","Cynopterus horsfieldii",FALSE,"509297",FALSE,"","1","cynopterus horsfieldii",NA,1,NA,1,1,1,"Asia","Cynopterus_horsfieldii",0,1,0
"11","cynopterus sphinx","Cynopterus sphinx",FALSE,"813031",FALSE,"","1","cynopterus sphinx",3,8,4,7,11,1,"Asia","Cynopterus_sphinx",1,1,1
"12","desmodus rotundus","Desmodus rotundus",FALSE,"238431",FALSE,"","1","desmodus rotundus",NA,1,NA,1,1,1,"LA","Desmodus_rotundus",0,1,0
"13","eidolon dupreanum","Eidolon dupreanum",FALSE,"113376",FALSE,"","1","eidolon dupreanum",NA,1,NA,1,1,1,"Africa","Eidolon_dupreanum",0,1,0
"14","eidolon helvum","Eidolon helvum",FALSE,"610862",FALSE,"","1","eidolon helvum",1,17,15,3,18,1,"Africa","Eidolon_helvum",1,1,1
"15","emballonura alecto","Emballonura alecto",FALSE,"1011473",FALSE,"SIBLING_HIGHER","1","emballonura alecto",NA,1,1,NA,1,1,"Asia","Emballonura_alecto",1,0,0
"16","emballonura monticola","Emballonura monticola",FALSE,"1073068",FALSE,"SIBLING_HIGHER","1","emballonura monticola",NA,1,NA,1,1,1,"Asia","Emballonura_monticola",0,1,0
"17","eonycteris spelaea","Eonycteris spelaea",FALSE,"113372",FALSE,"","1","eonycteris spelaea",1,4,2,3,5,1,"Asia","Eonycteris_spelaea",1,1,1
"18","epomophorus gambianus","Epomophorus gambianus",FALSE,"790965",FALSE,"","1","epomophorus gambianus",NA,2,1,1,2,1,"Africa","Epomophorus_gambianus",1,1,1
"19","epomops buettikoferi","Epomops buettikoferi",FALSE,"3613510",FALSE,"","1","epomops buettikoferi",NA,2,1,1,2,1,"Africa","Epomops_buettikoferi",1,1,1
"20","epomops franqueti","Epomops franqueti",FALSE,"558417",FALSE,"","1","epomops franqueti",1,10,10,1,11,1,"Africa","Epomops_franqueti",1,1,1
"21","glossophaga soricina","Glossophaga soricina",FALSE,"876514",FALSE,"","1","glossophaga soricina",NA,1,NA,1,1,1,"LA","Glossophaga_soricina",0,1,0
"22","haplonycteris fischeri","Haplonycteris fischeri",FALSE,"767030",FALSE,"","1","haplonycteris fischeri",NA,1,1,NA,1,1,"Asia","Haplonycteris_fischeri",1,0,0
"23","hipposideros armiger","Hipposideros armiger",FALSE,"316920",FALSE,"SIBLING_HIGHER","1","hipposideros armiger",1,10,2,9,11,1,"Asia","Hipposideros_armiger",1,1,1
"24","hipposideros bicolor","Hipposideros bicolor",FALSE,"1004816",FALSE,"SIBLING_HIGHER","1","hipposideros bicolor",NA,1,NA,1,1,1,"Asia","Hipposideros_bicolor",0,1,0
"25","hipposideros caffer","Hipposideros caffer",FALSE,"787376",FALSE,"SIBLING_HIGHER","1","hipposideros caffer",3,1,4,NA,4,1,"Africa","Hipposideros_caffer",1,0,0
"26","hipposideros cineraceus","Hipposideros cineraceus",FALSE,"295293",FALSE,"SIBLING_HIGHER","1","hipposideros cineraceus",1,1,2,NA,2,1,"Asia","Hipposideros_cineraceus",1,0,0
"27","hipposideros commersoni","Hipposideros commersoni",FALSE,"156174",FALSE,"SIBLING_HIGHER","1","hipposideros commersoni",1,1,2,NA,2,1,"Africa","Hipposideros_commersoni",1,0,0
"28","hipposideros diadema","Hipposideros diadema",FALSE,"493731",FALSE,"SIBLING_HIGHER","1","hipposideros diadema",NA,1,1,NA,1,1,"Asia","Hipposideros_diadema",1,0,0
"29","hipposideros gigas","Hipposideros gigas",FALSE,"690299",FALSE,"SIBLING_HIGHER","1","hipposideros gigas",3,1,4,NA,4,1,"Africa","Hipposideros_gigas",1,0,0
"30","hipposideros larvatus","Hipposideros larvatus",FALSE,"1073067",FALSE,"","1","hipposideros larvatus",1,5,2,4,6,1,"Asia","Hipposideros_larvatus",1,1,1
"31","hipposideros lekaguli","Hipposideros lekaguli",FALSE,"553025",FALSE,"SIBLING_HIGHER","1","hipposideros lekaguli",1,NA,1,NA,1,1,"Asia","Hipposideros_lekaguli",1,0,0
"32","hipposideros pomona","Hipposideros pomona",FALSE,"905428",FALSE,"SIBLING_HIGHER","1","hipposideros pomona",NA,5,1,4,5,1,"Asia","Hipposideros_pomona",1,1,1
"33","hypsignathus monstrosus","Hypsignathus monstrosus",FALSE,"265188",FALSE,"","1","hypsignathus monstrosus",1,14,14,1,15,1,"Africa","Hypsignathus_monstrosus",1,1,1
"34","ia io","Ia io",FALSE,"797470",FALSE,"","1","ia io",NA,1,NA,1,1,1,"Asia","Ia_io",0,1,0
"35","lophostoma brasiliense","Lophostoma brasiliense",FALSE,"78017",FALSE,"","1","lophostoma brasiliense",NA,1,NA,1,1,1,"LA","Lophostoma_brasiliense",0,1,0
"36","macroglossus minimus","Macroglossus minimus",FALSE,"10730",FALSE,"","1","macroglossus minimus",NA,1,1,NA,1,1,"Asia","Macroglossus_minimus",1,0,0
"37","macroglossus sobrinus","Macroglossus sobrinus",FALSE,"606018",FALSE,"","1","macroglossus sobrinus",1,2,1,2,3,1,"Asia","Macroglossus_sobrinus",1,1,1
"38","megaderma lyra","Megaderma lyra",FALSE,"289146",FALSE,"","1","megaderma lyra",3,4,4,3,7,1,"Asia","Megaderma_lyra",1,1,1
"39","megaerops ecaudatus","Megaerops ecaudatus",FALSE,"1035548",FALSE,"","1","megaerops ecaudatus",NA,1,NA,1,1,1,"Asia","Megaerops_ecaudatus",0,1,0
"40","megaerops niphanae","Megaerops niphanae",FALSE,"558420",FALSE,"","1","megaerops niphanae",1,NA,1,NA,1,1,"Asia","Megaerops_niphanae",1,0,0
"41","megaloglossus woermanni","Megaloglossus woermanni",FALSE,"687496",FALSE,"","1","megaloglossus woermanni",1,2,3,NA,3,1,"Africa","Megaloglossus_woermanni",1,0,0
"42","micropteropus pusillus","Micropteropus pusillus",FALSE,"558423",FALSE,"","1","micropteropus pusillus",1,2,3,NA,3,1,"Africa","Micropteropus_pusillus",1,0,0
"43","miniopterus australis","Miniopterus australis",FALSE,"1002681",FALSE,"","1","miniopterus australis",NA,1,1,NA,1,1,"Oceania","Miniopterus_australis",1,0,0
